Mes,Dia,Anio,Tmin,Tmax,Tavg
1,1,1929,5.2,9.75,14.3
1,2,1929,2.2,9.1,16
1,3,1929,4.2,13.1,22
1,4,1929,7.3,16.25,25.2
1,5,1929,9.1,12.7,16.3
1,6,1929,2.2,7.8,13.4
1,7,1929,1.3,9.8,18.3
1,8,1929,6.4,13.8,21.2
1,9,1929,9.2,16.15,23.1
1,10,1929,8.3,12.65,17
1,11,1929,6.1,14.15,22.2
1,12,1929,3.2,11.1,19
1,13,1929,3.1,12.2,21.3
1,14,1929,6.3,14.15,22
1,15,1929,9,17,25
1,16,1929,11.2,17.1,23
1,17,1929,12,19.5,27
1,18,1929,12,21.5,31
1,19,1929,11.3,19.15,27
1,20,1929,11.4,16.2,21
1,21,1929,13.1,18.55,24
1,22,1929,13,21.2,29.4
1,23,1929,13.3,17.8,22.3
1,24,1929,13,22.55,32.1
1,25,1929,10.3,12.7,15.1
1,26,1929,1.2,7.3,13.4
1,27,1929,2.3,10.7,19.1
1,28,1929,5.2,13.8,22.4
1,29,1929,1.3,11.8,22.3
1,30,1929,8.2,17.1,26
1,31,1929,9.2,15.75,22.3
2,1,1929,5.1,7.7,10.3
2,2,1929,5,7.5,10
2,3,1929,6.2,10.3,14.4
2,4,1929,7.2,14.15,21.1
2,5,1929,4,17,30
2,6,1929,7,16.15,25.3
2,7,1929,8.2,15.1,22
2,8,1929,12.2,14.6,17
2,9,1929,-1,8,17
2,10,1929,-1.2,5.55,12.3
2,11,1929,-2.1,4.6,11.3
2,12,1929,-3,4.7,12.4
2,13,1929,-1,11.1,23.2
2,14,1929,10.4,18.9,27.4
2,15,1929,11.3,18.15,25
2,16,1929,7.1,11.7,16.3
2,17,1929,8.4,13.9,19.4
2,18,1929,11.2,13.75,16.3
2,19,1929,8.4,16.7,25
2,20,1929,9.2,10.25,11.3
2,21,1929,6.1,15.1,24.1
2,22,1929,7.3,15.8,24.3
2,23,1929,9.1,11.7,14.3
2,24,1929,10,18.65,27.3
2,25,1929,10.4,18.85,27.3
2,26,1929,7.3,17.3,27.3
2,27,1929,11.1,16.75,22.4
2,28,1929,5.3,15.3,25.3
3,1,1929,9.2,14.6,20
3,2,1929,3.4,16.7,30
3,3,1929,10.2,20.3,30.4
3,4,1929,10.4,18.35,26.3
3,5,1929,11.4,20.9,30.4
3,6,1929,17.3,23.65,30
3,7,1929,17.4,27.2,37
3,8,1929,12,21,30
3,9,1929,14,21.15,28.3
3,10,1929,15,20.15,25.3
3,11,1929,15,18.65,22.3
3,12,1929,15,23,31
3,13,1929,17.3,23.65,30
3,14,1929,11.1,17.05,23
3,15,1929,10,16.4,22.8
3,16,1929,8,15.5,23
3,17,1929,14.2,16.65,19.1
3,18,1929,12,17.15,22.3
3,19,1929,12.1,19.05,26
3,20,1929,14.3,19.65,25
3,21,1929,18,24,30
3,22,1929,14.1,24.55,35
3,23,1929,12.3,23.3,34.3
3,24,1929,15,22,29
3,25,1929,17,22.65,28.3
3,26,1929,17,21.5,26
3,27,1929,17.2,22.1,27
3,28,1929,18.5,24.45,30.4
3,29,1929,15.3,22.3,29.3
3,30,1929,14.1,23.25,32.4
3,31,1929,15.1,25.05,35
4,1,1929,19,23.15,27.3
4,2,1929,19.4,25.35,31.3
4,3,1929,19.1,25.6,32.1
4,4,1929,17.4,25.7,34
4,5,1929,18,25.5,33
4,6,1929,15.4,23.25,31.1
4,7,1929,17.4,24.85,32.3
4,8,1929,19.4,25.2,31
4,9,1929,18.1,25.25,32.4
4,10,1929,18.4,27.2,36
4,11,1929,18,24,30
4,12,1929,19,24,29
4,13,1929,18.3,28.65,39
4,14,1929,16.5,25.9,35.3
4,15,1929,12.4,21.85,31.3
4,16,1929,12.2,21.6,31
4,17,1929,15,22,29
4,18,1929,18,23,28
4,19,1929,18.2,25.1,32
4,20,1929,18,28,38
4,21,1929,19,26.5,34
4,22,1929,18,20.65,23.3
4,23,1929,18.3,23.65,29
4,24,1929,17,25.7,34.4
4,25,1929,18,24.65,31.3
4,26,1929,17.3,21.35,25.4
4,27,1929,16.4,23.7,31
4,28,1929,17.1,25.7,34.3
4,29,1929,21,26.55,32.1
4,30,1929,21.2,29.25,37.3
5,1,1929,20.2,30.6,41
5,2,1929,16.3,20.15,24
5,3,1929,11.3,20.65,30
5,4,1929,12.3,25.7,39.1
5,5,1929,15.4,26.75,38.1
5,6,1929,18.4,28.7,39
5,7,1929,20,28.05,36.1
5,8,1929,21.3,28.15,35
5,9,1929,21.1,27.05,33
5,10,1929,21.4,27.2,33
5,11,1929,20.2,26.6,33
5,12,1929,21,26.15,31.3
5,13,1929,19,25.15,31.3
5,14,1929,18,23.7,29.4
5,15,1929,19.4,25.2,31
5,16,1929,20,25.65,31.3
5,17,1929,21.2,26.75,32.3
5,18,1929,21.3,28.65,36
5,19,1929,22.4,30.7,39
5,20,1929,19.3,24.65,30
5,21,1929,18,22.5,27
5,22,1929,18.1,23.7,29.3
5,23,1929,20,23,26
5,24,1929,18.2,24.75,31.3
5,25,1929,21,26.1,31.2
5,26,1929,22.1,28.55,35
5,27,1929,21.3,27.2,33.1
5,28,1929,23.4,28.7,34
5,29,1929,21,26.65,32.3
5,30,1929,18.3,24.8,31.3
5,31,1929,20.3,26.2,32.1
6,1,1929,20.3,25.8,31.3
6,2,1929,21.3,28.35,35.4
6,3,1929,22.5,29.75,37
6,4,1929,22.1,28.7,35.3
6,5,1929,19.4,27.2,35
6,6,1929,21.4,28.2,35
6,7,1929,20.4,28.25,36.1
6,8,1929,21.3,29.65,38
6,9,1929,20.1,28.7,37.3
6,10,1929,22,29.55,37.1
6,11,1929,21.4,29.7,38
6,12,1929,20,28.65,37.3
6,13,1929,20,28,36
6,14,1929,21.3,27.8,34.3
6,15,1929,23.2,29.25,35.3
6,16,1929,20.3,28.2,36.1
6,17,1929,21.2,28.3,35.4
6,18,1929,21.4,28.2,35
6,19,1929,21.3,25.8,30.3
6,20,1929,20,25.5,31
6,21,1929,20,26.55,33.1
6,22,1929,20,27.5,35
6,23,1929,22,28.65,35.3
6,24,1929,21.1,28.2,35.3
6,25,1929,23.2,29.6,36
6,26,1929,20.4,27.35,34.3
6,27,1929,21.2,29.1,37
6,28,1929,21.3,28.65,36
6,29,1929,20.4,26.25,32.1
6,30,1929,21.3,27.8,34.3
7,1,1929,21.2,28.25,35.3
7,2,1929,22.1,29.2,36.3
7,3,1929,22.1,28.7,35.3
7,4,1929,21.1,30.3,39.5
7,5,1929,21.3,26.3,31.3
7,6,1929,21.2,26.7,32.2
7,7,1929,21.2,27.15,33.1
7,8,1929,18.3,25.8,33.3
7,9,1929,21,26.6,32.2
7,10,1929,20.4,26.7,33
7,11,1929,21.4,27.2,33
7,12,1929,22.1,26.55,31
7,13,1929,21,26,31
7,14,1929,21,26.5,32
7,15,1929,20.3,27.65,35
7,16,1929,22,29,36
7,17,1929,21.3,29.65,38
7,18,1929,21.4,29.2,37
7,19,1929,23.1,30.05,37
7,20,1929,22.3,29.15,36
7,21,1929,22.2,29.6,37
7,22,1929,23.3,28.8,34.3
7,23,1929,22.4,28.35,34.3
7,24,1929,21,29.05,37.1
7,25,1929,19.3,26.2,33.1
7,26,1929,22.1,27.75,33.4
7,27,1929,22,28.2,34.4
7,28,1929,22.2,27.6,33
7,29,1929,22,27.1,32.2
7,30,1929,21.4,27.85,34.3
7,31,1929,20.2,27.6,35
8,1,1929,21,26.65,32.3
8,2,1929,21.2,27.1,33
8,3,1929,22,29,36
8,4,1929,22,28.65,35.3
